image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x178DB4ABDF0>,is any structure inflamed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x178DB4ABE80>,is the image in the axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178DB4ABF10>,how can the distribution in this image be described?,micronodular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4ABFA0>,is there blunting of the left costophrenic angle?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178DB4B37C0>,what type of distributions is seen on this image?,micronodular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4B3460>,what is the location of the mass?,left rectus abdominus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4B00A0>,where is the mass?,left rectus abdominus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x178DB4B0130>,is this a t1 weighted image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB4B01C0>,is the right renal vein visualized?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB4B0250>,is it possible to identify the right renal vein?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B02E0>,are the kidneys visible in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B0370>,is air visible in the bowels?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B0400>,is there air in the bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x178DB4B0490>,what do the two bright dots represent?,nipple location
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x178DB4B0520>,are structures associated with the midbrain located in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x178DB4B05B0>,what are the two hyperlucent inferior dots?,nipple location
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B0640>,what are the locations of the hyperintensities?,bilateral frontal lobes and body of corpus callosum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B06D0>,where are the hyperintensities located?,bilateral frontal lobes and body of corpus callosum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB4B0760>,are the kidneys visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB4B07F0>,can you see the kidneys,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x178DB4B0880>,is this a pa or ap film?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x178DB4B0910>,what laterality is this film?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x178DB4B09A0>,what artery is the embolus from?,distal basilar artery
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x178DB4B0A30>,where is the embolus located?,distal basilar artery
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB4B0AC0>,the mass is located in what region?,suprasellar
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x178DB4B0B50>,is the midbrain identified in this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB4B0BE0>,where is the mass located?,suprasellar
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B0C70>,the imaging modality is...?,mri/flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B0D00>,what is the image modality?,mri/flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x178DB4B0D90>,is there fluid in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x178DB4B0E20>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B0EB0>,is this an axial cut?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x178DB4B0F40>,is the trachea deviated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x178DB4B0FD0>,is tracheal deviation present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x178DB4B1060>,what image modality is this?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x178DB4B10F0>,what imaging modality was used,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x178DB4B1180>,are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4B1210>,are patchy infiltrates depicted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4B12A0>,are there patchy infiltrates present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x178DB4B1330>,are the margins of the cardiac silhouette normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x178DB4B13C0>,is the heart border normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1009x1200 at 0x178DB4B1450>,is this an axial plane,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B14B0>,is there intrahepatic ductal dilatation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B15A0>,is intrahepatic ductal dilatation present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x178DB4B1630>,what imaging modality was used?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x178DB4B16C0>,what type of image is this?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4B1750>,are air fluid levels depicted in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x178DB4B17E0>,are there >5 lymph nodes located near the stomach?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4B1870>,is there an air fluid level present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x178DB4B1900>,where is the pathology located?,anterior cerebrum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x178DB4B1990>,which region of the brain is impacted?,anterior surface
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B1A20>,is there air in the bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B1AB0>,is air present in the bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB4B1B40>,what is behind the liver?,ascites
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB4B1BD0>,what finding is associated with liver?,ascites
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x178DB4B1C60>,what type of image is this?,mri-flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x178DB4B1CF0>,what imaging modality was used,mri-flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x178DB4B1D80>,what imaging plane is depicted here?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x178DB4B1E10>,does the gallbladder appear distended?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x178DB4B1EA0>,what is the plane?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x178DB4B1F30>,is cardiomegaly shown?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x178DB4B1FC0>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB4B2050>,what is the location of the mass?,right kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB4B20E0>,where is the mass located?,right kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4B2170>,how was this image taken?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B2200>,what do the hyperintensities likely represent?,hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B2290>,what are the hyperintensities signaling?,hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4B2320>,can you see kidneys in this image,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1009x1200 at 0x178DB4B23B0>,how was this image taken?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x178DB4B2440>,is the gallbladder enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4B24D0>,is there contrast in this image,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4B2560>,is pericholecystic inflammation present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4B25F0>,what is the lighter substance around the gallbladder,pericholecystic fluid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1006 at 0x178DB4B2680>,what type of imaging was used?,mr - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1006 at 0x178DB4B2710>,which image modality is this?,mr - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x178DB4B27A0>,what is the plane?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x178DB4B2830>,what plane was used?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB4B28C0>,does this image use contrast or not?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB4B2950>,does this ct have contrast or no contrast?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B29E0>,what is wrong with the pancreas?,fatty infiltration
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x178DB4B2A70>,where is the pathology in this image?,vasculature
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB4B2B00>,is this image plane taken inferior to the liver?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4B2B90>,what pathology does the pancreas deominstrate?,fatty infiltration
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB4B2C20>,is the liver cirrhotic?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB4B2CB0>,what organ exhibits pathology,jejunum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB4B2D40>,which part of the bowel is involved by the mass?,jejunum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4B2DD0>,what plane are we in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x178DB4B2E60>,what is the modality used?,mr - adc map
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x178DB4B2EF0>,what imaging method was used?,mr - adc map
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x178DB4B2F80>,what is at the base of the right lung?,nodules
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x178DB4B3010>,what pathology is shown at the lung bases?,nodules
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x178DB4E0340>,is this a pa film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x178DB4E2140>,is there any shift of midline structures visible in this section?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x178DB4E0D30>,what image modality is this?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4E26B0>,is this an axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB4E3370>,is this a ct image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4E3400>,the abscess is located in what structure?,descending colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4E3490>,where is the abscess located?,descending colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x178DB4E3520>,where are the hyperlucencies located?,"thalami, left occipital lobe, brainstem and left cerebellum"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x178DB4E35B0>,which areas are lighting up?,"thalami, left occipital lobe, brainstem and left cerebellum"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x178DB4E3640>,are there multiple septations within the cyst?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x178DB4E36D0>,is the cyst complex?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x178DB4E3760>,what organ is involved?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x178DB4E37F0>,is there shifting of structures across the middle?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x178DB4E3880>,which organ is affected?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4E3910>,where are the kidneys located?,adjacent to vertebrae
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4E39A0>,is there contrast in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4E3A30>,is there evidence of mesenteric lymphadenopathy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4E3AC0>,is mesenteric lymphadenopathy present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x178DB4E3B50>,what imaging modality was used?,mr - flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x178DB4E3BE0>,what type of image modality is this?,mr - flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4E3C70>,is the right conal fascia inflammed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB4E3D00>,is inflammation present at the right conal fascia?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB4E3D90>,what organ is enlarged?,spleen
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB4E3E20>,is there evidence of a small bowel obstruction with perforated viscus on this ct?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB4E3EB0>,which organ is abnormally large?,spleen
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB4E3F40>,what does the enhancing periphery of the mass represent?,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB4E3FD0>,what is the outer rim of the mass?,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4FA6E0>,blunting of the costophrenic angles indicate what condition?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4F8040>,what does the blunting of the costophrenic angles indicate?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1009x1200 at 0x178DB4F80D0>,what are the two bright images on either side,hip bones
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x178DB4F8160>,is there hilar adenopathy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4F81F0>,is the et tube properly placed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178DB4F8280>,is there perinephric fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F8310>,which plane is the image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB4F83A0>,is there evidence of a pneumoperitoneum secondary to a perforation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x178DB4F8430>,is this a singular or multilobulated lesion?,multilobulated
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB4F84C0>,is there cardiomegaly?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x178DB4F8550>,are the sulci visible in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F85E0>,what imaging modality was used?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x178DB4F8670>,is the trachea midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x178DB4F8700>,are there any fractures in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x178DB4F8790>,was the patient given iv contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x178DB4F8820>,is there contrast in the patient's vasculature?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x178DB4F88B0>,is there pleural thickening in the r lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F8940>,is iv contrast used?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x178DB4F89D0>,is there edema in the patient's right temporal lobe?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F8A60>,is this process bilateral?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x178DB4F8AF0>,is the sigmoid colon visualized at this axial section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178DB4F8B80>,is there a pneumothorax?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x178DB4F8C10>,is the abnormality hyper intense?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x178DB4F8CA0>,is there ring-enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x964 at 0x178DB4F8D30>,is there air in the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x178DB4F8DC0>,what part of the posterior brain contains the lesions?,temporal and lateral occipital lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB4F8E50>,which lung are the nodules located in?,bilateral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x178DB4F8EE0>,what is the signal intensity of the lesion?,mixed intensity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=355x482 at 0x178DB4F8F70>,is there a shift of midline structures?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x178DB4F9000>,is there evidence of cytotoxic edema in the right temporal lobe?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x178DB4F9090>,in what lobe of the brain is the lesion located?,right temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x178DB4F9120>,are the cerebellar infarcts hyper attenuated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1248 at 0x178DB4F91B0>,is this patient intubated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x178DB4F9240>,where is the spleen located?,on the left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x178DB4F92D0>,is the spleen present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F9360>,how many gallstones are identified?,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x178DB4F93F0>,what would be the most probably diagnosis for this patient?,acute stroke
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4F9480>,why is the left hemithorax more lucent?,decreased muscle bulk
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB4F94E0>,how big is the mass?,6.5 x 6.2 x 8.8cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB4F95D0>,is there a rib fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB4F9660>,does the mass have a smooth appearing border?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4F96F0>,are there decreased lung markings in the right upper lung field?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x178DB4F9780>,is there an brain bleed?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178DB4F9810>,what is the term for the sign in this image?,right vertebral artery sign
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x178DB4F98A0>,are there increased interstitial markings?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4F9930>,is the mass in the left or right side?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x178DB4F99C0>,is the corpus callosum involved?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x178DB4F9A50>,which side is the diaphragm more depressed?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=925x1125 at 0x178DB4F9AE0>,is there pneumoperitoneum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x178DB4F9B40>,how large is the mass?,5cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F9C30>,is there grey-white matter differentiation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB4F9CC0>,is the mass well-defined?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x178DB4F9D50>,is there any lesion in the ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x178DB4F9DE0>,is the lesion on the right or left side of the brain?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x178DB4F9E70>,is there cardiac enlargement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x178DB4F9F00>,is there bilateral hilar enlargement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x178DB4F9F90>,are the orbits in view of this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1090 at 0x178DB4FA020>,where is the abnormality located?,r hemidiaphragm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1314 at 0x178DB4FA0B0>,is there ectatic or aneurysmal enlargement of the abdominal aorta?,no
